Date,Account Balance,Predicted Label,Actual Label,Folder,Prediction Correct,Drawdown
2024-01-03 23:00:00,10149.0,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_30,True,0.0
2024-01-04 06:00:00,10200.999999999985,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_37,True,0.0
2024-01-04 09:00:00,10398.999999999995,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_40,True,0.0
2024-01-04 12:00:00,10598.999999999995,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_43,True,0.0
2024-01-05 06:00:00,10501.99999999998,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_61,False,97.00000000001455
2024-01-08 06:00:00,10403.999999999982,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_85,False,195.00000000001273
2024-01-09 06:00:00,10467.99999999998,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_109,True,131.00000000001455
2024-01-09 12:00:00,10367.99999999998,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_115,False,231.00000000001455
2024-01-10 06:00:00,10406.99999999999,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_133,True,192.00000000000364
2024-01-12 07:00:00,10474.999999999993,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_182,True,124.00000000000182
2024-01-12 09:00:00,10636.999999999989,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_184,True,0.0
2024-01-15 01:00:00,10589.999999999993,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_200,False,46.99999999999636
2024-01-15 05:00:00,10735.999999999995,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_204,True,0.0
2024-01-15 06:00:00,10882.99999999998,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_205,True,0.0
2024-01-15 07:00:00,11072.999999999982,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_206,True,0.0
2024-01-16 06:00:00,10972.999999999982,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_229,False,100.0
2024-01-16 07:00:00,10872.999999999982,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_230,False,200.0
2024-01-17 05:00:00,10966.999999999998,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_252,True,105.99999999998363
2024-01-17 11:00:00,11067.00000000001,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_258,True,5.999999999972715
2024-01-18 04:00:00,10967.00000000001,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_275,False,105.99999999997272
2024-01-18 07:00:00,10877.000000000018,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_278,False,195.99999999996362
2024-01-18 08:00:00,10777.00000000003,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_279,False,295.9999999999527
2024-01-18 12:00:00,10785.000000000036,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_283,True,287.99999999994543
2024-01-19 04:00:00,10685.000000000036,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_299,False,387.99999999994543
2024-01-19 05:00:00,10585.000000000036,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_300,False,487.99999999994543
2024-01-19 10:00:00,10695.000000000047,sell,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_305,True,377.9999999999345
2024-01-22 05:00:00,10651.000000000047,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_324,False,421.9999999999345
2024-01-22 06:00:00,10773.000000000047,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_325,True,299.9999999999345
2024-01-23 07:00:00,10973.000000000047,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_350,True,99.99999999993452
2024-01-24 05:00:00,10916.00000000003,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_372,False,156.9999999999527
2024-01-24 07:00:00,10870.000000000038,sell,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_374,False,202.9999999999436
2024-01-25 08:00:00,10991.000000000031,buy,buy,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_399,True,81.99999999995089
2024-01-26 08:00:00,10891.000000000031,buy,sell,output_latest_data_part_multiple.zip/Pairs/EURUSD\EURUSD_sequence_423,False,181.9999999999509
